,price.open,price.high,price.low,price.close,volume,price.adjusted,sale price,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pct change,direction
124,80.699997,81.080002,80.139999,80.449997,2627800,79.123894,161.53000,4/11/19,TGT,-0.003715322,-0.003715207,0.546824006,D
125,81,81.5,80.440002,80.730003,3517200,79.399284,162.23000,4/12/19,TGT,0.003480491,0.003480497,0.616141188,D
126,80.839996,82.129997,80.690002,81.980003,3306200,80.628685,164.11000,4/15/19,TGT,0.015483779,0.015483711,0.009709402,E
127,82.389999,82.459999,81.650002,81.970001,2663600,80.618851,164.43000,4/16/19,TGT,-0.000121967,-0.000122005,0.046107161,E
128,82.400002,83.400002,82.300003,82.68,3045000,81.317139,166.08000,4/17/19,TGT,0.008661597,0.008661693,0.048425424,E
129,82.760002,83.480003,82.440002,83.260002,3162700,81.887589,166.74001,4/18/19,TGT,0.007015126,0.007015022,-0.368879291,E
130,83.160004,83.650002,81.93,82.019997,3331200,80.668022,165.67000,4/22/19,TGT,-0.014893185,-0.014893166,-1.207132936,D
131,81.639999,82.260002,80.290001,82.160004,6238500,80.805717,164.42001,4/23/19,TGT,0.001706934,0.001706986,-1.08538734,D
132,81.669998,83.339996,81.669998,82.879997,2660000,81.51384,166.21999,4/24/19,TGT,0.008763278,0.008763303,-1.375453198,D
133,82.790001,82.790001,81.650002,81.739998,3797000,80.392632,164.53000,4/25/19,TGT,-0.013754818,-0.013754815,-1.557408595,D
134,77.120003,78.360001,74.730003,77.120003,12352800,75.848785,155.48000,4/26/19,TGT,-0.05652069,-0.056520616,-0.182089067,E
135,78.419998,78.480003,76.970001,77.800003,9097000,76.517586,156.28001,4/29/19,TGT,0.008817557,0.008817427,-0.485323158,E
136,78.059998,78.139999,77.010002,77.419998,5339800,76.143845,155.56000,4/30/19,TGT,-0.00488438,-0.004884383,-0.377525366,E
